dt,close,signal
2025-08-06 04:05:00+00:00,113439.99,0
2025-08-06 04:10:00+00:00,113388.03,0
2025-08-06 04:15:00+00:00,113435.76,0
2025-08-06 04:20:00+00:00,113478.15,0
2025-08-06 04:25:00+00:00,113463.42,0
2025-08-06 04:30:00+00:00,113467.24,0
2025-08-06 04:35:00+00:00,113394.91,0
2025-08-06 04:40:00+00:00,113407.81,0
2025-08-06 04:45:00+00:00,113419.79,0
2025-08-06 04:50:00+00:00,113419.53,0
2025-08-06 04:55:00+00:00,113428.38,1
2025-08-06 05:00:00+00:00,113516.73,0
2025-08-06 05:05:00+00:00,113815.28,-1
2025-08-06 05:10:00+00:00,113927.12,-1
2025-08-06 05:15:00+00:00,114056.87,-1
2025-08-06 05:20:00+00:00,113884.32,-1
2025-08-06 05:25:00+00:00,113927.06,-1
2025-08-06 05:30:00+00:00,113986.5,-1
2025-08-06 05:35:00+00:00,114396.73,-1
2025-08-06 05:40:00+00:00,114244.26,-1
2025-08-06 05:45:00+00:00,114211.48,-1
2025-08-06 05:50:00+00:00,114146.34,-1
2025-08-06 05:55:00+00:00,114148.12,-1
2025-08-06 06:00:00+00:00,113986.97,0
2025-08-06 06:05:00+00:00,113933.44,0
2025-08-06 06:10:00+00:00,113994.34,0
2025-08-06 06:15:00+00:00,114060.21,0
2025-08-06 06:20:00+00:00,114074.18,0
2025-08-06 06:25:00+00:00,113988.35,0
2025-08-06 06:30:00+00:00,114009.54,0
2025-08-06 06:35:00+00:00,114065.81,0
2025-08-06 06:40:00+00:00,114057.84,0
2025-08-06 06:45:00+00:00,114147.08,0
2025-08-06 06:50:00+00:00,114122.24,0
2025-08-06 06:55:00+00:00,114085.29,0
2025-08-06 07:00:00+00:00,114138.3,0
2025-08-06 07:05:00+00:00,114128.08,0
2025-08-06 07:10:00+00:00,114252.91,0
2025-08-06 07:15:00+00:00,114215.14,-1
2025-08-06 07:20:00+00:00,114225.05,0
2025-08-06 07:25:00+00:00,114288.93,0
2025-08-06 07:30:00+00:00,114228.23,0
2025-08-06 07:35:00+00:00,114184.35,0
2025-08-06 07:40:00+00:00,114175.94,0
2025-08-06 07:45:00+00:00,114188.95,0
2025-08-06 07:50:00+00:00,114189.69,0
2025-08-06 07:55:00+00:00,114228.67,0
2025-08-06 08:00:00+00:00,114250.83,0
2025-08-06 08:05:00+00:00,114138.06,0
2025-08-06 08:10:00+00:00,114062.84,0
2025-08-06 08:15:00+00:00,114079.87,0
2025-08-06 08:20:00+00:00,114088.54,0
2025-08-06 08:25:00+00:00,114069.89,0
2025-08-06 08:30:00+00:00,113954.81,1
2025-08-06 08:35:00+00:00,113903.51,1
2025-08-06 08:40:00+00:00,113768.3,1
2025-08-06 08:45:00+00:00,113846.71,1
2025-08-06 08:50:00+00:00,113864.48,1
2025-08-06 08:55:00+00:00,113948.71,0
2025-08-06 09:00:00+00:00,113950.52,0
2025-08-06 09:05:00+00:00,113971.78,0
2025-08-06 09:10:00+00:00,114168.68,0
2025-08-06 09:15:00+00:00,114222.16,0
2025-08-06 09:20:00+00:00,114165.71,0
2025-08-06 09:25:00+00:00,114100.37,0
2025-08-06 09:30:00+00:00,114072.28,0
2025-08-06 09:35:00+00:00,113972.63,0
2025-08-06 09:40:00+00:00,113979.98,0
2025-08-06 09:45:00+00:00,114019.18,0
2025-08-06 09:50:00+00:00,114151.34,-1
2025-08-06 09:55:00+00:00,114093.09,0
2025-08-06 10:00:00+00:00,114097.77,0
2025-08-06 10:05:00+00:00,114074.28,0
2025-08-06 10:10:00+00:00,114126.82,0
2025-08-06 10:15:00+00:00,113963.95,0
2025-08-06 10:20:00+00:00,113915.74,0
2025-08-06 10:25:00+00:00,113974.14,0
2025-08-06 10:30:00+00:00,114063.51,0
2025-08-06 10:35:00+00:00,114087.92,0
2025-08-06 10:40:00+00:00,114120.09,0
2025-08-06 10:45:00+00:00,114037.19,0
2025-08-06 10:50:00+00:00,114037.99,0
2025-08-06 10:55:00+00:00,114066.37,0
2025-08-06 11:00:00+00:00,114079.2,0
2025-08-06 11:05:00+00:00,114006.74,0
2025-08-06 11:10:00+00:00,114138.64,0
2025-08-06 11:15:00+00:00,114214.19,0
2025-08-06 11:20:00+00:00,114214.14,0
2025-08-06 11:25:00+00:00,114239.64,-1
2025-08-06 11:30:00+00:00,114305.42,-1
2025-08-06 11:35:00+00:00,114349.28,-1
2025-08-06 11:40:00+00:00,114313.95,0
2025-08-06 11:45:00+00:00,114222.45,0
2025-08-06 11:50:00+00:00,114203.87,0
2025-08-06 11:55:00+00:00,114225.54,0
2025-08-06 12:00:00+00:00,114331.94,-1
2025-08-06 12:05:00+00:00,114245.17,0
2025-08-06 12:10:00+00:00,113955.27,0
2025-08-06 12:15:00+00:00,114125.12,0
2025-08-06 12:20:00+00:00,114142.33,0
2025-08-06 12:25:00+00:00,114066.08,0
2025-08-06 12:30:00+00:00,114224.87,0
2025-08-06 12:35:00+00:00,114211.23,0
2025-08-06 12:40:00+00:00,114066.06,0
2025-08-06 12:45:00+00:00,114002.87,0
2025-08-06 12:50:00+00:00,113936.34,0
2025-08-06 12:55:00+00:00,113912.73,0
2025-08-06 13:00:00+00:00,113933.87,0
2025-08-06 13:05:00+00:00,113869.34,0
2025-08-06 13:10:00+00:00,113892.72,0
2025-08-06 13:15:00+00:00,113859.22,0
2025-08-06 13:20:00+00:00,113931.36,0
2025-08-06 13:25:00+00:00,113905.9,0
2025-08-06 13:30:00+00:00,113978.21,0
2025-08-06 13:35:00+00:00,114039.06,0
2025-08-06 13:40:00+00:00,114166.82,0
2025-08-06 13:45:00+00:00,114167.37,0
2025-08-06 13:50:00+00:00,114301.06,0
2025-08-06 13:55:00+00:00,114269.92,0
2025-08-06 14:00:00+00:00,114334.5,-1
2025-08-06 14:05:00+00:00,114408.4,-1
2025-08-06 14:10:00+00:00,114250.41,0
